poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat
40,2019-05-02,2019-05-17,12,0.22141706924315618,0.6642512077294686,1.8548387096774193,0.1956521739130435,0.4106280193236715,0.057971014492753624,1.5526315789473684,3.3176470588235296,1.8,2.0353982300884956,1.8026905829596414,76,85,25,113,223,414,310,642.9468599033817,0.18357487922705315,0.20531400966183574,0.06038647342995169,0.27294685990338163,0.538647342995169,mainstream_all,19,2019,5,15,WP19
41,2019-05-17,2019-06-06,13,0.18604651162790697,0.5581395348837209,1.8132530120481927,0.08139534883720931,0.4186046511627907,0.05813953488372093,2.3225806451612905,3.7142857142857144,0.3333333333333333,1.7419354838709677,1.4833333333333334,31,7,12,31,60,86,83,691.8372093023256,0.36046511627906974,0.08139534883720931,0.13953488372093023,0.36046511627906974,0.6976744186046512,mainstream_all,19,2019,5,20,WP19
42,2019-06-06,2019-06-28,13,0.23555555555555555,0.7066666666666667,1.9009229098805647,0.18,0.3844444444444444,0.14222222222222222,2.0,3.217391304347826,1.1964285714285714,2.0056818181818183,1.8647058823529412,67,92,56,176,170,450,307,630.6133333333333,0.14888888888888888,0.20444444444444446,0.12444444444444444,0.39111111111111113,0.37777777777777777,mainstream_all,19,2019,6,22,WP19
43,2019-06-28,2019-07-04,12,0.15555555555555556,0.4666666666666667,1.5542635658914727,0.14666666666666667,0.28,0.04,1.7894736842105263,2.5714285714285716,0.0,0.6,1.85,19,7,4,10,20,75,43,667.7333333333333,0.25333333333333335,0.09333333333333334,0.05333333333333334,0.13333333333333333,0.26666666666666666,mainstream_all,19,2019,6,6,WP19
44,2019-07-04,2019-07-26,13,0.1111111111111111,0.3333333333333333,2.25,0.0,0.3333333333333333,0.0,0.0,,,2.0,2.3333333333333335,1,0,0,2,6,9,6,789.6666666666666,0.1111111111111111,0.0,0.0,0.2222222222222222,0.6666666666666666,mainstream_all,19,2019,7,22,WP19
45,2019-07-26,2019-08-01,12,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2019,7,6,
46,2019-08-01,2019-08-23,14,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2019,8,22,
47,2019-08-23,2019-09-05,14,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2019,8,13,
48,2019-09-05,2019-09-20,15,0.2585669781931464,0.7757009345794392,1.867283950617284,0.22429906542056074,0.5186915887850467,0.03271028037383177,2.048076923076923,3.0555555555555554,0.8695652173913043,1.6511627906976745,1.4578313253012047,104,18,23,43,83,214,162,790.0373831775701,0.48598130841121495,0.08411214953271028,0.10747663551401869,0.20093457943925233,0.3878504672897196,mainstream_all,19,2019,9,15,WP19
49,2019-09-20,2019-10-11,14,0.2247765006385696,0.6743295019157088,1.5908045977011493,0.19923371647509577,0.4061302681992337,0.06896551724137931,1.6451612903225807,3.28,0.6666666666666666,1.15,1.4142857142857144,62,25,18,40,70,261,145,592.8390804597701,0.23754789272030652,0.09578544061302682,0.06896551724137931,0.1532567049808429,0.2681992337164751,mainstream_all,19,2019,9,21,WP19
50,2019-10-11,2019-10-18,14,0.2,0.6,1.7272727272727273,0.12432432432432433,0.3783783783783784,0.0972972972972973,1.8181818181818181,2.7058823529411766,0.46153846153846156,1.847457627118644,1.293103448275862,44,17,13,59,58,185,121,597.0054054054054,0.23783783783783785,0.0918918918918919,0.07027027027027027,0.31891891891891894,0.31351351351351353,mainstream_all,19,2019,10,7,WP19
51,2019-10-18,2019-11-07,14,0.2314225053078556,0.6942675159235668,1.8435672514619883,0.20063694267515925,0.4140127388535032,0.07961783439490445,1.9682539682539681,2.88,0.5,1.75,1.6282051282051282,63,25,12,68,78,314,171,628.8694267515923,0.20063694267515925,0.07961783439490445,0.03821656050955414,0.21656050955414013,0.2484076433121019,mainstream_all,19,2019,10,20,WP19
52,2019-11-07,2019-11-15,14,0.19594067135050738,0.5878220140515222,2.0602477477477477,0.14988290398126464,0.3700234192037471,0.06791569086651054,2.336734693877551,3.3255813953488373,0.4666666666666667,2.0272108843537415,1.628930817610063,98,43,45,147,159,427,296,618.311475409836,0.22950819672131148,0.10070257611241218,0.1053864168618267,0.3442622950819672,0.37236533957845436,mainstream_all,19,2019,11,8,WP19
53,2019-11-15,2019-12-05,14,0.22070534698521044,0.6621160409556314,1.9965753424657535,0.17064846416382254,0.4539249146757679,0.03754266211604096,2.1353383458646618,2.586206896551724,1.2,2.1515151515151514,1.6333333333333333,133,29,20,66,120,293,219,750.1740614334472,0.4539249146757679,0.09897610921501707,0.06825938566552901,0.22525597269624573,0.40955631399317405,mainstream_all,19,2019,11,20,WP19
